symbol,ret_1d
BIIB,-0.010559934064801824
HPQ,-0.0005449591280655142
ROL,0.011120331950207563
DRI,-0.01584954484543233
YUM,0.0034988644036584304
JLL,-0.002321735258571378
KLAC,-0.007025602918327323
WSBC,-0.0005486968449932572
SSD,-0.015441357265797873
DVN,0.004950495049504955
HE,-0.016822429906542147
CHDN,0.016760392546036007
CALX,0.043552681627995415
DOX,-0.01048752834467137
PNW,0.008815991799077327
AWI,-0.0009152387247672866
OSK,-0.00635272176244317
CPAY,-0.005698903175921477
LMND,-0.061767838125665664
NDSN,-0.017909051421698075
SWK,-0.002449070466436609
COLB,-0.0016005121638923425
PEN,-0.001875073245048542
GTM,-0.025757575757575757
REG,0.0011885895404120106
BG,0.014124989734745741
BCO,0.0005392081343398303
WAL,-0.04041679823176514
OSIS,0.04416541957148579
CRS,0.0315110812625925
TARS,0.035877983246404455
AXTA,-0.02670789991565936
UNF,-0.023378238341968838
CME,0.004495124772764925
GIS,-0.012345679012345734
MAS,-0.021506777893639306
VLO,-0.0011029780407099121
CW,0.016920939119358325
CWAN,0.008646779074794608
MNST,-0.014306323635489449
CQP,-0.0003370407819346388
MUSA,0.01340393420817021
GH,-0.00968162353379265
RUSHA,0.0237467018469657
UBSI,0.0036438168982009245
ALAB,0.02346041055718473
TEX,-0.001448016217781789
PFS,-0.0008707009142359112
CUZ,0.012562814070351758
PTCT,0.014072247207311817
NMRK,-0.015483870967741953
RMBS,-0.002012650948821193
LUV,-0.04963503649635037
ILMN,-0.0007494379215589042
ADPT,0.011342155009451904
TXT,-0.012169576059850362
EMN,-0.027909294791926387
ACT,-0.017717930545712246
LHX,0.018686811314324592
CNX,0.011691542288557288
LNT,0.0069034948942903185
AVNT,-0.017791127541589735
SCHW,-0.015831411197315903
EVRG,-0.010820895522388074
KMT,0.004160166406656174
EBC,-0.011704119850187267
IONS,0.011311116516662612
FRT,0.003982930298719767
AIR,0.008025822210590672
ACIW,0.003941857600394005
DY,0.016283803431230037
BRX,0.0027350427350427697
AMP,-0.011218317670943279
UFPI,-0.007451966241695085
LVS,-0.012746430999320157
LUNR,0.0253664036076664
IQV,-0.00993803343855948
OZK,-0.00808407437348424
PSMT,0.005456936226167164
EXAS,-0.0006772445820433237
HST,-0.009378084896347505
BPOP,-0.013915547024952013
GD,0.013877364159203376
EWBC,-0.014633344294639916
MAIN,-0.03565478173942016
CATY,-0.005605381165919354
LOW,-0.01400063800375706
EA,-0.0017479898117165327
EXP,0.012570737396863763
RTX,0.002929544455837041
PH,0.014977443609022645
CFG,-0.006918819188191927
IBKR,-0.01214953271028052
ORA,-0.00817911434236629
ELAN,0.016949152542372836
CBT,-0.005839416058394109
OHI,-0.00449293966623876
GAP,0.007137758743754441
FICO,-0.010388242265514713
RJF,-0.019421692727723983
AME,-0.0066578464427468065
HSY,-0.009592866150243129
ALLY,-0.004750593824228044
UHAL,-0.0011632415664984963
DLR,0.004999431882740657
MCO,-0.0032611589315821865
BILL,0.038298819861946276
WMT,-0.013820881377349603
LBRT,-0.008480825958702032
SITM,-0.034451694585118875
ZION,-0.009026434558349505
TCBI,-0.00276374726007822
AHR,-0.0019131432944328175
KAR,
EXEL,-0.006970991679784211
USB,-0.014805990469707209
BRC,-0.02183497795507028
NEOG,-0.015246636771300448
LLYVK,0.017855256207078618
UNM,0.002866502866502696
ISRG,-0.002456266474958113
CAH,-0.009911551624516735
NSA,0.010799766491535356
UMBF,-0.013608634443923018
KMI,0.0077423350882626085
